sbt,rt
2.241508948,0.959216994
2.092579862,3.081739704
1.635695718,1.724549702
2.006756321,2.030682785
1.963844551,2.67356226
2.092579862,2.061296094
1.87802101,1.569442273
2.902855056,3.612370382
2.574706224,0.869417956
0.502320136,0.88166328
0.244344669,0.853090859
0.542707684,0.385727685
0.52251391,0.78574158
0.936486283,0.820436663
0.585619455,0.269397113
0.401351264,0.253070015
0.343294163,0.630634151
0.530086575,0.469404061
0.714354766,0.346950828
0.557853015,0.175108124
0.307955058,0.141637573
0.330673054,0.669411009
1.042503598,0.336746392
0.921340953,0.246947354
0.244344669,0.359196151
0.265043288,0.481649384
0.421545039,0.620429715
0.507368579,0.230620256
0.623482782,0.885745054
0.580571011,0.630634151
0.350866829,1.33678113
0.507368579,1.053097806
1.085415369,1.33678113
0.694160992,1.0061574
0.843090077,0.67553367
0.401351264,0.33062373
0.459408365,0.763291821
0.729500097,0.67553367
1.506960407,1.853125597
1.436282197,1.659241311
1.193956906,1.620464454
0.843090077,1.036770708
1.363079765,1.204123461
1.479193968,0.842886422
1.007164493,1.359230889
0.921340953,0.820436663
1.663462158,0.369400587
